,review,ner_review
58,"DirectorQuest: 54/100John Woo: 2/5""Do you believe there's a God?""""Yes. I am God. You're one. A god can be human. A god is someone who controls his destiny.""An odd one for me, because I admittedly feel like it's closer to a 7.5 for me, yet I'm going to give it an 8. John Woo, though only having seen a handful of his films, is a director I respect a lot. His type of films that focus on…","DirectorQuest 54100John [DIRECTOR] 25Do you believe there a God?Yes I am God Youre one A god can be human A god is someone who controls his destiny An odd one for me, because I admittedly feel like it closer [ACTOR] a 7 5 for me, yet Im going [ACTOR] give it an [YEAR] [DIRECTOR] Woo, though only having seen a handful of his films, is a director I respect a lot His type of films that focus on"
59,"The way he lights a cigarette, wields dual pistols, rocks a black trench coat: very few people have ever looked cooler than Chow Yun-fat","The way he lights a cigarette, wields dual pistols, rocks a black trench coat very few people have ever looked cooler than [ACTOR] Yunfat"
60,"It's my first John Woo work I guess, I haven't really explored much of Action cinema. This was a splendid experience for sure, Action cinema is something that ages well and never dies, there's a certain allure to the absolute mayhem of Gunfire. The action sequences in these were soo stylish and dazzling to look at, I don't really care much about the drama in Action cinema but the character were solid I'd say with really exceptional characterisations. Mark(Chow Yun-Fat)…","It my first [DIRECTOR] work I guess, I havent really explored much of Action cinema This was a splendid experience for sure, Action cinema is something that ages well and never dies, there a certain allure [ACTOR] the absolute mayhem of Gunfire The action sequences in these were soo stylish and dazzling [ACTOR] look at, I dont really care much about the drama in Action cinema but the character were solid Id say with really exceptional characterisations MarkChow YunFat"
61,"This review may contain spoilers.I can handle the truth.John Woo found the genre that he could excel in with A Better Tomorrow after experimenting with comedies resembling those of the Hui brothers. Chow Yun-fat also gradually transformed from ""box office poison"" to a popular actor beginning from this film.A Better Tomorrow is underpinned by the romantic, heroic ideal of brotherhood in a Confucian universe, with Ah Mark standing for brother without blood tie, Ah Git for brother with blood tie, and Ah Shing a brother who betrayed…","This review may contain spoilers I can handle the truth [DIRECTOR] found the genre that he could excel in with A Better Tomorrow after experimenting with comedies resembling those of the Hui brothers [ACTOR] Yunfat also gradually transformed from box office poison [ACTOR] a popular actor beginning from this film A Better Tomorrow is underpinned by the romantic, heroic ideal of brotherhood in a Confucian universe, with Ah Mark standing for brother without blood tie, Ah Git for brother with blood tie, and Ah [ACTOR] a brother who betrayed"
62,"5th John Woo (after Broken Arrow, Hard Boiled, The Killer and Face/Off)The first thirty minutes of A Better Tomorrow are fantastic. Chow Yun-Fat's Mark was apparently a cultural icon in mid-eighties Hong Kong, and it's easy to see why. He exudes cool in his long coat and dark sunglasses, prowling the streets of Hong Kong as he and Ti Lung run a successful counterfeit money business. It climaxes in the celebrated restaurant shootout, the first real moment of 'gun-fu'…","5th [DIRECTOR] after Broken Arrow, Hard Boiled, The Killer and FaceOffThe first thirty minutes of A Better Tomorrow are fantastic [ACTOR] YunFat Mark was apparently a cultural icon in mideighties Hong Kong, and it easy [ACTOR] see why He exudes cool in his long coat and dark sunglasses, prowling the streets of Hong Kong as he and [ACTOR] run a successful counterfeit money business It climaxes in the celebrated restaurant shootout, the first real moment of gunfu"
63,"This for certain fulfilled my lack of action/violence as of late.I have only viewed a small percentage of John Woo's output in Hong Kong; as this is rather easy to view online (wink, wink) I finally pulled the trigger-or triggers; this was the first time Chow Yun-Fat double-fisted pistols in a film-and saw quite the melodramatic tale that was rather engrossing. One brother in a family (Kit) becomes a police officer while another (Ho) is in a gang. Ho…","This for certain fulfilled my lack of actionviolence as of late I have only viewed a small percentage of [DIRECTOR] output in Hong Kong; as this is rather easy [ACTOR] view online wink, wink I finally pulled the triggeror triggers; this was the first time [ACTOR] YunFat doublefisted pistols in a filmand saw quite the melodramatic tale that was rather engrossing One brother in a family Kit becomes a police officer while another Ho is in a gang Ho"
64,chow yun-fat shooting men in slow motion is my new religion,[ACTOR] yunfat shooting men in slow motion is my new religion
65,"Finally finished all of John woos directorial run and not only am I gonna put what I thought on the movie but also my whole thoughts on his 4 legendary films..Movie:This movie was amazing. Unfortunately, it does have some flaws that made me debate between giving it a 4 or a 4.5 out of 5. For example, some parts felt a bit underdeveloped and dragged, especially given its short runtime of 1 hour and 35 minutes. Many parts…","Finally finished all of [DIRECTOR] woos directorial run and not only am I gonna put what I thought on the movie but also my whole thoughts on his 4 legendary films MovieThis movie was amazing Unfortunately, it does have some flaws that made me debate between giving it a 4 or a 4 5 out of 5 For example, some parts felt a bit underdeveloped and dragged, especially given its short runtime of [YEAR] hour and 35 minutes Many parts"
66,"Who doesn't like a good dose of heroic bloodshed and melodrama??John Woo is a director I associate with the word style. And this film definitely has a lot of style, though that doesn't mean the dramatic aspects of this action drama are weak. It takes a fair amount of time in developing the dynamics between the characters. Infact, the palpable drama takes the chunk of the narrative rather than action, now it may be due to the prohibited budget…","Who doesnt like a good dose of heroic bloodshed and melodrama??John [DIRECTOR] is a director I associate with the word style And this film definitely has a lot of style, though that doesnt mean the dramatic aspects of this action drama are weak It takes a fair amount of time in developing the dynamics between the characters Infact, the palpable drama takes the chunk of the narrative rather than action, now it may be due [ACTOR] the prohibited budget"
67,"Dieser ""John Woo"" Film, ist der Wegbereiter des Action Subgenre ""Hong-Kong-Blut-Oper"" (Heroic Bloodshed).Ziemlich überrascht war ich hier über die doch tief gehende Figurenzeichnung, wodurch der Film zusätzlich ein Hauch melodramatisch wirkt.Schauspielerische Spitzenleistungen habe ich nicht erwartet und auch nicht bekommen 😁.Aber gut Inszenierte Action habe ich erwartet und die habe ich eindeutig bekommen👍.","Dieser [DIRECTOR] Film, ist der Wegbereiter des Action Subgenre HongKongBlutOper Heroic Bloodshed Ziemlich berrascht war ich hier ber die doch tief gehende Figurenzeichnung, wodurch der Film zustzlich ein Hauch melodramatisch wirkt Schauspielerische Spitzenleistungen habe ich nicht erwartet und auch nicht bekommen Aber gut Inszenierte Action habe ich erwartet und die habe ich eindeutig bekommen"
68,"I guess I had expected more action, but what's the point of that if it doesn't represent anything? While the story doesn't stray far from the beaten path, the attention Woo puts into his characters, and by extension us as a viewer, leaves you on the edge of your seat with every story beat. Chow is effortlessly cool to the point that I didn't even care whether he was the main character or not, that part where he puts his broke ass leg on the table in the club, and pours one out on it in front of Waise Lee's face? Fuckin' legend.","I guess I had expected more action, but what the point of that if it doesnt represent anything? While the story doesnt stray far from the beaten path, the attention [DIRECTOR] puts into his characters, and by extension us as a viewer, leaves you on the edge of your seat with every story beat [ACTOR] is effortlessly cool [ACTOR] the point that I didnt even care whether he was the main character or not, that part where he puts his broke ass leg on the table in the club, and pours one out on it in front of [ACTOR] Lee face? Fuckin legend"
69,Pretty great but honestly a bit too melodramatic for my tasteis what I would normally say but goddamn John Woo just has a way of making even the cheesiest (and weirdest) melodrama work. I mean can you even imagine Face/Off without John Travolta's hand trickling down everyone's face?,Pretty great but honestly a bit too melodramatic for my tasteis what I would normally say but goddamn [DIRECTOR] just has a way of making even the cheesiest and weirdest melodrama work I mean can you even imagine FaceOff without [DIRECTOR] Travolta hand trickling down everyone face?
70,"Top shelf action filmmaking. You can feel the influence of wuxia and opera in the highly stylized fight sequences. Every actor goes so fucking hard and looks so good. Extremely, extremely goated.","Top shelf action filmmaking You can feel the influence of wuxia and opera in the highly stylized fight sequences Every actor goes so fucking hard and looks so good Extremely, extremely goated"
71,"Hongkong ist schön bei Nacht...All die vielen Lichter, Neondurchtränkte Strassen und Clubs.Die Unterwelt erwacht, dubiose Geschäfte, Deals und Mord blühen.Anfangs tat ich mich schwer in den Film zu kommen, zuviel übertriebener Humor mit dem ich seither eh nicht so gut connecten kann.Aber John Woo denkt nicht groß an Klamauk sondern lässt die Geschichte fließen und immer weiter ins Dunkle driften.Eine Geschichte über Freundschaften, Familie, falsche Entscheidungen, Resozialisierung, Vertrauen und Verrat.Ein blutiger Weg in die Finsternis ohne Gewinner. Leichen über Leichen sind das Resultat.Ab jetzt nimmt der Heroic Bloodshed-Vibe Fahrt auf. Ich bin heiß!","Hongkong ist schn bei Nacht All die vielen Lichter, Neondurchtrnkte Strassen und Clubs Die Unterwelt erwacht, dubiose Geschfte, Deals und Mord blhen Anfangs tat ich mich schwer in den Film zu kommen, zuviel bertriebener Humor mit dem ich seither eh nicht so gut connecten kann Aber [DIRECTOR] denkt nicht gro an Klamauk sondern lsst die Geschichte flieen und immer weiter ins Dunkle driften Eine Geschichte ber Freundschaften, Familie, falsche Entscheidungen, Resozialisierung, Vertrauen und Verrat Ein blutiger Weg in die Finsternis ohne Gewinner Leichen ber Leichen sind das Resultat Ab jetzt nimmt der Heroic BloodshedVibe Fahrt auf Ich bin hei"
72,"I'm obsessed by the soundtrack .Realistic drama with a touch of redemption The real strength of this film is in the iconized characters and the charisma they exude .Excessive in form, but intimate in substance; when action is compatible with emotion. That's why I love John Woo, he shows us that even the greatest mobsters, even if their morals are debatable, remain human beings with feelings above all . Chow Yun-fat the one who can't resist his smile doesn't like cinema.","Im obsessed by the soundtrack Realistic drama with a touch of redemption The real strength of this film is in the iconized characters and the charisma they exude Excessive in form, but intimate in substance; when action is compatible with emotion That why I love [DIRECTOR] Woo, he shows us that even the greatest mobsters, even if their morals are debatable, remain human beings with feelings above all [ACTOR] Yunfat the one who cant resist his smile doesnt like cinema"
73,"A larger than life tragic brotherly love portrayed in a beautifully shot Hong Kong underworld brutal action flick, filled with guns & violence & longing for redemption. A man's desperate plea for return to normal life gets prevented again and again by his brutal criminal past where trust is scarce & money is the only motivation. But even in that cutthroat business Mark & Ho's camaraderie probably proves that there's nothing stronger in this world than a true male bond which grows over time…","A larger than life tragic brotherly love portrayed in a beautifully shot Hong Kong underworld brutal action flick, filled with guns violence longing for redemption A man desperate plea for return [ACTOR] normal life gets prevented again and again by his brutal criminal past where trust is scarce money is the only motivation But even in that cutthroat business Mark Ho camaraderie probably proves that there nothing stronger in this world than a true male bond which grows over time"
74,"It's a lot of fun to see Leslie Cheung in an action movie! He's known for his romantic/dramatic roles, but it's awesome to see him run around and shoot people.Perhaps I'm a tad underwhelmed, after absolutely lovingHard Boiled. Don't get me wrong, this is quite a good movie, but I feel like it's the kind of film that gave birth to a lot of cliches we see in action movies today. It's *extremely* melodramatic, and I don't think…","It a lot of fun [ACTOR] see [ACTOR] in an action movie He known for his romanticdramatic roles, but it awesome [ACTOR] see him run around and shoot people Perhaps Im a tad underwhelmed, after absolutely lovingHard Boiled Dont get me wrong, this is quite a good movie, but I feel like it the kind of film that gave birth [ACTOR] a lot of cliches we see in action movies today It extremely melodramatic, and I dont think"
75,"Lights Camera Action, A Better Tommarow. Beginning of the action revolution, Break out role for Yun-Fat Chow, he is cool as fuck, forms a great double act with Lunh Ti. Director John Woo lets the bullets flow. Leslie Cheung is the Chinese James Dean, Legendary and not forgotten. Good Guys and Bad guys, Cops and robbers, honor, Loyalty and brotherhood. Thrilling and emotional. This is a action classic","Lights Camera Action, A Better Tommarow Beginning of the action revolution, Break out role for YunFat Chow, he is cool as fuck, forms a great double act with Lunh [ACTOR] Director [DIRECTOR] lets the bullets flow [ACTOR] is the Chinese James Dean, Legendary and not forgotten Good Guys and Bad guys, Cops and robbers, honor, Loyalty and brotherhood Thrilling and emotional This is a action classic"
76,"This review may contain spoilers.I can handle the truth.A John Woo classic. This is one of the earliest examples of the ""heroic bloodshed"" sub-genre as far as I know, and it pretty much sets the standard for subsequent films in the genre. I'd consider it to be the first ""true"" John Woo flick, giving you all the grit and violence you'd expect.The narrative focuses on three main characters, as the first several minutes give us pretty good insight. You have two brothers on both sides of the…","This review may contain spoilers I can handle the truth A [DIRECTOR] classic This is one of the earliest examples of the heroic bloodshed subgenre as far as I know, and it pretty much sets the standard for subsequent films in the genre Id consider it [ACTOR] be the first true [DIRECTOR] flick, giving you all the grit and violence youd expect The narrative focuses on three main characters, as the first several minutes give us pretty good insight You have two brothers on both sides of the"
77,"ACTION SCENES: 6TOTAL ACTION TIME: 21.75/95 min. (22.9/100)CHOREOGRAPHY: 7/10STUNTS: 7/10EDITING: 8/10FINALE: 7/10MISCELLANEOUS MENTIONS:TOTAL ACTION JUNKIE SCORE: 57.9READ HOW THE ACTION JUNKIE SCORE WORKSPart of our cleverly worded ""Yuen-Woo-Ping"" month, where we watch a movie by Corey Yuen, then John Woo, then Yuen Woo-Ping, ha!It's interesting revisiting this in 2024 - it really is the first true blue ""John Woo film"" as we understand it today, yet more dramatic than action-oriented.…","ACTION SCENES 6TOTAL ACTION TIME 21 7595 min 22 9100CHOREOGRAPHY 710STUNTS 710EDITING 810FINALE 710MISCELLANEOUS MENTIONSTOTAL ACTION JUNKIE SCORE 57 9READ HOW THE ACTION JUNKIE SCORE WORKSPart of our cleverly worded YuenWooPing month, where we watch a movie by Corey Yuen, then [DIRECTOR] Woo, then Yuen WooPing, ha It interesting revisiting this in 2024 it really is the first true blue [DIRECTOR] film as we understand it today, yet more dramatic than actionoriented"
78,"Wenn man Kritiken zu A Better Tomorrow liest, oder mit Freunden über den Film fachsimpelt, dann geht's meist darum dass John Woo damit die Filmwelt, weit über die Grenzen Hongkongs, für immer verändern sollte. Die Inzenierung von Action war danach schlagartig eine andere. Eine bessere.Und das ist natürlich auch alles schön und gut, aber wie, verdammte Scheiße, wie, ist es überhaupt möglich, einen solchen Film auf die Welt loszulassen, wenn man kurz zuvor noch den beschissensten Scheißfilm aller beschissenen Scheißfilme, Run Tiger Run, verbrochen hat?.............................fucking Mindblowing!","Wenn man Kritiken zu A Better Tomorrow liest, oder mit Freunden ber den Film fachsimpelt, dann geht meist darum dass [DIRECTOR] damit die Filmwelt, weit ber die Grenzen Hongkongs, fr immer verndern sollte Die Inzenierung von Action war danach schlagartig eine andere Eine bessere Und das ist natrlich auch alles schn und gut, aber wie, verdammte Scheie, wie, ist es berhaupt mglich, einen solchen Film auf die Welt loszulassen, wenn man kurz zuvor noch den beschissensten Scheifilm aller beschissenen Scheifilme, Run Tiger Run, verbrochen hat? fucking Mindblowing"
79,"Kicking myself that I didn’t beg or borrow a Blu-ray when I screened this for my film students this week, but the image quality didn’t seem to hinder their enjoyment much: truly a delight to watch it with them. They responded in all the right ways: laughed loudly  (e. g. when the cello goes through Tsui Hark’s window) or gasped and groaned (e.g. at that epic Mark/Chow Yun-fat nose bleed) or were utterly silent (e.g. during that final brotherly display of love and sacrifice).Reminds me just how beautifully communal a thing it is when there’s a great movie and a great, engaged audience.","Kicking myself that I didnt beg or borrow a Bluray when I screened this for my film students this week, but the image quality didnt seem [ACTOR] hinder their enjoyment much truly a delight [ACTOR] watch it with them They responded in all the right ways laughed loudly e g when the cello goes through [ACTOR] window or gasped and groaned e g at that epic MarkChow Yunfat nose bleed or were utterly silent e g during that final brotherly display of love and sacrifice Reminds me just how beautifully communal a thing it is when there a great movie and a great, engaged audience"
80,Woo is so bro-mantic. Never seen a director so emotionally invested in male friendships. We can defeat our enemies together.,[DIRECTOR] is so bromantic Never seen a director so emotionally invested in male friendships We can defeat our enemies together
81,"Bullet ballet, blood, brotherly melodrama and Chow Yun-Fat. Lacks a little in rhythm but I always like my melodramatic bloodshed. Lots of fun.","Bullet ballet, blood, brotherly melodrama and [ACTOR] YunFat Lacks a little in rhythm but I always like my melodramatic bloodshed Lots of fun"
82,"Unironicallycoolaction scenes like Chow Yun-Fat speeding in on the boat or sliding across the floor on the roller cart thingy, and the sincerity of the character’s emotions toward each other (the reasons we all love John Woo movies), are both very much on display here.Really noticed the synth score this time - which is used only a little bit injustthe right moments. Once near the end, with the trio standing back to back carefully making their way through a field of bad guys, it hits just right.","Unironicallycoolaction scenes like [ACTOR] YunFat speeding in on the boat or sliding across the floor on the roller cart thingy, and thesincerity of the character emotions toward each other the reasons we all love [DIRECTOR] movies, are both very much on display here Really noticed the synth score this time which is used only a little bit injustthe right moments Once near the end, with the trio standing back [ACTOR] back carefully making their way through a field of bad guys, it hits just right"
83,"Familie, Freundschaft, Liebe, Betrug, Bruderschaft, Ehre.........und jede Menge Kugeln.John  Wooś Klassiker des Heroic Bloodshed  hat zwar noch nicht die stilistische (Treff)Sicherheit seiner späteren Werke, i kann aber getrost zu den Klassikern des HK-Kinos gezählt werden.Produziert  wurde das Ganze von Tsui Hark, seines Zeichens eine weitere Koryphäe und Legende des  Actionkinos.Ti Lung, Leslie Cheung verfeinern  die Saga  mit ihrem dramatischen Spiel, abgerundet durch die  extreme Coolness vom aufsteigenden Superstar Chow Yun Fat.Rohe Gewalt, Zeitlupe, Blut, Schweiss und  Tränen.......und eine Titelmelodie die  noch lange in den Gehörgängen  rumgeistert.Alles in allem, eine feine Sache.Für Fans von Action, Drama, Chang Cheh und Sam Peckinpah.","Familie, Freundschaft, Liebe, Betrug, Bruderschaft, Ehre und jede Menge Kugeln [DIRECTOR] Klassiker des Heroic Bloodshed hat zwar noch nicht die stilistische TreffSicherheit seiner spteren Werke, i kann aber getrost zu den Klassikern des HKKinos gezhlt werden Produziert wurde das Ganze von [ACTOR] Hark, seines Zeichens eine weitere Koryphe und Legende des Actionkinos [ACTOR] Lung, [ACTOR] verfeinern die Saga mit ihrem dramatischen Spiel, abgerundet durch die extreme Coolness vom aufsteigenden Superstar [ACTOR] Yun Fat Rohe Gewalt, Zeitlupe, Blut, Schweiss und Trnen und eine Titelmelodie die noch lange in den Gehrgngen rumgeistert Alles in allem, eine feine Sache Fr Fans von Action, Drama, [ACTOR] Cheh und Sam Peckinpah"
84,"God-John Woo delivers another incredible action/melodrama for the ages and yet this film gets the dynamic of how they must be done with a wacky yet adorable first glance, then there’s a clear tonal shift which works metaphorically with the film and it bewilders you with a different story it’s telling, you don’t expect that coming but looking back I realize how well crafted the story is. I think action movies easily lose themselves in the spectacle that forget how…","GodJohn [DIRECTOR] delivers another incredible actionmelodrama for the ages and yet this film gets the dynamic of how they must be done with a wacky yet adorable first glance, then there a clear tonal shift which works metaphorically with the film and it bewilders you with a different story it telling, you dont expect that coming but looking back I realize how well crafted the story is I think action movies easily lose themselves in the spectacle that forget how"
85,"One of the things about watching a lot of movies is, even when you do so, there's still a lot of movies to watch -especially the good stuff. Exhibit M here -- somehow I'd made it through life this far without ever seeing John Woo's A BETTER TOMORROW (aka Chow Yun-Fat's breakout performance) in its entirety - luckily I was finally able to remedy that - this is one of those before/after situations where Woo was about to change film,…","One of the things about watching a lot of movies is, even when you do so, there still a lot of movies [ACTOR] watch especially the good stuff Exhibit M here somehow Id made it through life this far without ever seeing [DIRECTOR] A BETTER TOMORROW aka [ACTOR] YunFat breakout performance in its entirety luckily I was finally able [ACTOR] remedy that this is one of those beforeafter situations where [DIRECTOR] was about [ACTOR] change film,"
86,"The story is common, but it's still fun to follow. And I can say that the action is excellent and highly recommended. It reminds me ofJohn Woo'sThe Killer, but the downside is thatA Better Tomorrowdoesn't have as much action scenes asThe Killer.By the way, I was a bit fooled by the poster. At first, I believed thatChow Yun-fatwas the main character, but it turned out that wasn't true. It turns out thatTi LungandLeslie Cheungare the main characters in here.","The story is common, but it still fun [ACTOR] follow And I can say that the action is excellent and highly recommended It reminds me ofJohn WoosThe Killer, but the downside is thatA Better Tomorrowdoesnt have as much action scenes asThe Killer By the way, I was a bit fooled by the poster At first, I believed thatChow Yunfatwas the main character, but it turned out that wasnt true It turns out thatTi LungandLeslie Cheungare the main characters in here"
87,"Ever since I watchedA HERO NEVER DIESa few days back and ended up being slightly underwhelmed with that movie...I've been wanting to re-watch this John Woo heroic bloodbath masterpiece again!I do slightly prefer A BETTER TOMORROW 2,THE KILLERand HARD BOILED to this, but still...this is such an awesome movie!! A classic John Woo melodramatic bloodbath...His familiar and trademark directing style is still rough around the edges here, but that's not so surprising, because this…","Ever since I watchedA HERO NEVER DIESa few days back and ended up being slightly underwhelmed with that movie Ive been wanting [ACTOR] rewatch this [DIRECTOR] heroic bloodbath masterpiece again I do slightly prefer A BETTER TOMORROW 2,THE KILLERand HARD BOILED [ACTOR] this, but still this is such an awesome movie A classic [DIRECTOR] melodramatic bloodbath His familiar and trademark directing style is still rough around the edges here, but that not so surprising, because this"
88,"Heroic-Bloodshed-Urgestein in eckig, kantig, roh und ungeschliffen sowie Blaupause für alles was das Actionkino hüben wie drüben für eine sehr lange Zeit inspirieren und dominieren sollte. Der frische Wind ließ über die sonst beanstandenden Overactingmanierismen der kantonesischen Schauspielkunst hinwegsehen. daran scheitern vor allem die verlässlichen Synchronstimmen von Frank Glaubrecht (u. a. Kevin Costner), Hans-Jürgen Dittberner (u. a. Christopher Reeve) und Joachim Tennstedt (u. a. Bryan Cranston), die ihre Handlungsrelevanz auch dann noch verbalisieren müssen, wenn Ti Lung, Leslie Cheung oder…","HeroicBloodshedUrgestein in eckig, kantig, roh und ungeschliffen sowie Blaupause fr alles was das Actionkino hben wie drben fr eine sehr lange Zeit inspirieren und dominieren sollte Der frische Wind lie ber die sonst beanstandenden Overactingmanierismen der kantonesischen Schauspielkunst hinwegsehen daran scheitern vor allem die verlsslichen Synchronstimmen von Frank Glaubrecht u a Kevin Costner, HansJrgen Dittberner u a Christopher Reeve und Joachim Tennstedt u a Bryan Cranston, die ihre Handlungsrelevanz auch dann noch verbalisieren mssen, wenn [ACTOR] Lung, [ACTOR] oder"
89,"Leslie Chung on an action film shooting people? Chow Yun-Fat lighting his cigarette with a dollar bill???? I mean how could it have been cooler????--SINEGANGweekly pick #25, chosen by philipSINEGANG WEEKLY PICK RANKEDAsian Cinema: Essential ViewingMy 2021 Watches: Ranked","[ACTOR] Chung on an action film shooting people? [ACTOR] YunFat lighting his cigarette with a dollar bill???? I mean how could it have been cooler????SINEGANGweekly pick 25, chosen by philipSINEGANG WEEKLY PICK RANKEDAsian Cinema Essential ViewingMy 2021 Watches Ranked"
90,"A Better Tomorrow mag vielleicht objektiv der schwächste Film der besten Ära John Woos sein, für mich wird er jedoch immer einen sehr großen Platz im Herzen einnehmen, da er meine Liebe für das HK-Actionthriller-Kino gemeinsam mit Wong Kar-Wais As Tears Go By begründet hat.Mit Ti Lung, Chow Yun-fat und Leslie Cheung hat John Woo auch direkt drei der größter Schauspielkönner Hong Kongs an Bord. Gemeinsam durchstehen die drei eine durchgehend unterhaltsame und kurzweilige Gangstergeschichte rund um Freundschaft, Familie…","A Better Tomorrow mag vielleicht objektiv der schwchste Film der besten ra [DIRECTOR] Woos sein, fr mich wird er jedoch immer einen sehr groen Platz im Herzen einnehmen, da er meine Liebe fr das HKActionthrillerKino gemeinsam mit [ACTOR] KarWais As Tears Go By begrndet hat Mit [ACTOR] Lung, [ACTOR] Yunfat und [ACTOR] hat [DIRECTOR] auch direkt drei der grter Schauspielknner Hong Kongs an Bord Gemeinsam durchstehen die drei eine durchgehend unterhaltsame und kurzweilige Gangstergeschichte rund um Freundschaft, Familie"
91,"""Bro I hate you""""Bro I'm different now""""Bro you ruined my job""""Bro I'm really a better person now""""Bro I'm a cop you're a gangster""Me: shut the fuck upAlso me: please shut the fuck up",Bro I hate youBro Im different nowBro you ruined my jobBro Im really a better person nowBro Im a cop youre a gangsterMe shut the fuck upAlso me please shut the fuck up
92,"A father dies to protect his son. The son surrenders to save his apprentice. A friend cripples himself to avenge the son. The two of them risk their lives to help the son's brother catch the apprentice. And in the final deciding moment of redemption, the resentful brother still hesitates. The friend must sacrifice his own life to show that the son has done the same. His handcuffs bind not to himself but restore a lost kinship.A Better Tomorrow…","A father dies [ACTOR] protect his son The son surrenders [ACTOR] save his apprentice A friend cripples himself [ACTOR] avenge the son The two of them risk their lives [ACTOR] help the son brother catch the apprentice And in the final deciding moment of redemption, the resentful brother still hesitates The friend must sacrifice his own life [ACTOR] show that the son has done the same His handcuffs bind not [ACTOR] himself but restore a lost kinship A Better Tomorrow"
93,"This could possibly be the most cinematic films I've seen in a long time, where every scene is incredible and memorable. Shootouts, Brotherhood, and Forgiveness","This could possibly be the most cinematic films Ive seen in a long time, where every scene is incredible and memorable Shootouts, Brotherhood, and Forgiveness"
94,"Ti Lung and Chow Yun-fat are both great, the plot is fun and there are few incredible scenes, but overal nothing was really unforgettable. I much prefer Woo's effort with Hard Boiled which was just totally crazy and over the top exciting.Today though I'm mostly just sad that Woo stopped making those great Hong Kong action films ever since coming to Hollywood.","[ACTOR] and [ACTOR] Yunfat are both great, the plot is fun and there are few incredible scenes, but overal nothing was really unforgettable I much prefer [DIRECTOR] effort with Hard Boiled which was just totally crazy and over the top exciting Today though Im mostly just sad that [DIRECTOR] stopped making those great Hong Kong action films ever since coming [ACTOR] Hollywood"
95,"Bullet laced, blood spurting action from John Woo. Woo is one of the best there is at directing gunfights, they truly are magnificent to watch. The film is also emotional when it needs to be and the plot is not just forgotten in favour of style, this has both and they are both great.This was a breakout role for Chow Yun-fat, and understandably so, he was so cool even with his one legged character. Leslie Cheung was a little…","Bullet laced, blood spurting action from [DIRECTOR] [DIRECTOR] is one of the best there is at directing gunfights, they truly are magnificent [ACTOR] watch The film is also emotional when it needs [ACTOR] be and the plot is not just forgotten in favour of style, this has both and they are both great This was a breakout role for [ACTOR] Yunfat, and understandably so, he was so cool even with his one legged character [ACTOR] was a little"
